City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
448,kariapatti,9.6751,78.0999,27.29,83,20,0.0,IN,1685234651
449,fort mcmurray,56.7268,-111.381,26.77,24,20,5.14,CA,1685234458
450,thurso,58.5927,-3.5259,8.14,77,100,8.32,GB,1685234652
451,dalandzadgad,43.5708,104.425,14.17,47,3,2.5,MN,1685234653
452,hohhot,40.8106,111.6522,19.39,55,0,1.0,CN,1685234367
453,mbalmayo,3.5167,11.5,20.89,98,100,2.02,CM,1685234653
454,vila velha,-20.3297,-40.2925,21.08,95,20,1.03,BR,1685234654
455,khorramabad,33.4878,48.3558,14.79,67,0,2.06,IR,1685234654
456,waspan,14.7419,-83.9717,25.87,84,93,1.96,NI,1685234655
457,malango,-2.9627,119.9001,24.0,82,7,1.13,ID,1685234655
458,tangalle,6.024,80.7911,25.09,88,1,4.28,LK,1685234656
459,nykvarn,59.8,18.3,11.94,65,93,4.35,SE,1685234409
460,uspenskoye,44.8311,41.3927,14.26,93,0,1.98,RU,1685234657
461,okondja,-0.6549,13.6753,22.85,97,100,0.84,GA,1685234657
462,zhezqazghan,47.7833,67.7667,13.96,41,0,4.4,KZ,1685234481
463,kharp,66.8014,65.8081,10.64,79,100,1.96,RU,1685234658
464,prince george,53.9166,-122.753,24.58,33,40,2.06,CA,1685234659
465,gambiran satu,-8.3939,114.1464,24.5,69,86,2.15,ID,1685234659
466,auki,-8.7676,160.7034,29.94,66,39,1.18,SB,1685234660
467,tanjung pandan,-2.75,107.65,27.49,81,93,3.32,ID,1685234660
468,shangmei,27.7428,111.2956,29.45,71,5,1.95,CN,1685234661
469,nushki,29.5542,66.0215,26.06,20,67,1.44,PK,1685234661
470,acarau,-2.8856,-40.12,26.01,87,17,4.48,BR,1685234662
471,palangkaraya,-2.2,113.8333,27.84,75,100,1.76,ID,1685234662
472,ternate,0.8,127.4,28.45,70,59,4.46,ID,1685234663
473,sehwan,26.4279,67.863,32.87,30,26,2.58,PK,1685234663
474,kalur kot,32.1564,71.2594,26.59,57,100,4.1,PK,1685234664
475,teplyk,48.6657,29.745,12.1,88,86,5.16,UA,1685234665
476,boyalik,41.2634,28.6314,16.54,97,75,5.68,TR,1685234665
477,mariinsk,56.2139,87.7472,10.67,67,59,2.24,RU,1685234666
478,alofi,-19.0595,-169.9187,27.94,78,1,5.14,NU,1685234667
479,brandon,27.9378,-82.2859,26.29,68,0,3.58,US,1685234394
480,cabo san lucas,22.8909,-109.9124,29.61,47,0,6.17,MX,1685234406
481,forster,-32.1667,152.5167,13.54,54,0,2.18,AU,1685234668
482,salym,60.0625,71.4789,12.79,75,100,2.12,RU,1685234475
483,banff,51.1762,-115.5698,20.57,30,100,3.09,CA,1685234669
484,nantucket,41.2835,-70.0995,17.03,62,0,4.12,US,1685234650
485,abepura,-2.6333,140.5833,22.45,88,40,3.09,ID,1685234670
486,mossel bay,-34.1831,22.146,9.96,58,0,1.91,ZA,1685234670
487,maun,-19.9833,23.4167,17.98,48,0,4.12,BW,1685234671
488,chegdomyn,51.1167,133.0167,5.69,95,100,1.61,RU,1685234672
489,mount pearl,47.5166,-52.7813,7.14,87,75,6.17,CA,1685234673
490,jinan,36.6683,116.9972,18.08,92,100,3.63,CN,1685234385
491,jungapeo de juarez,19.45,-100.4833,22.29,69,100,1.18,MX,1685234674
492,esmeraldas,-19.7625,-44.3139,19.58,60,40,1.14,BR,1685234674
493,leon,21.1167,-101.6667,26.03,33,77,3.48,MX,1685234675
494,mar del plata,-38.0023,-57.5575,8.38,90,40,3.09,AR,1685234438
495,peace river,56.2501,-117.286,26.17,27,40,4.63,CA,1685234676
496,archangelos,36.2149,28.1149,20.17,87,25,4.75,GR,1685234676
497,quellon,-43.1167,-73.6167,6.0,74,100,3.39,CL,1685234677
498,puerto armuelles,8.2833,-82.8667,28.99,71,96,0.45,PA,1685234678
499,vallenar,-28.5708,-70.7581,17.03,43,0,0.24,CL,1685234678
500,nhamunda,-2.1861,-56.7131,25.22,84,24,1.31,BR,1685234679
